,words
0,mở cuộn
1,thông tin sai
2,nguồn cảm hứng
3,thợ khâu
4,người phụ nữ
5,tháo cuộn
6,nhiều thịt
7,hậu quả
8,nhắc lại
9,theo mùa
10,sự sạch sẽ
11,nói nhảm
12,nói rôm rả
13,sau mũi
14,làm sai lệch
15,hóa thạch
16,người luyện tập
17,hoa huệ
18,trầm trọng nhất
19,Ngài
20,người hủy diệt
21,các bước
22,cần thiết
23,cây bút chì
24,giàu dinh dưỡng
25,người chăn trâu
26,dây nịt
27,thiện xạ
28,liêm khiết
29,người niêm phong
30,bảnh bao
31,phong cách
32,làm sao
33,theo nghi lễ
34,lỗi lạc
35,bị cắt
36,nhìn
37,đều
38,lũ ngốc
39,con linh dương
40,trao đổi ngắn hạn
41,không được hoan nghênh
42,bối rối
43,thấm thía
44,lùi về trước
45,huyền thoại
46,cải ngựa
47,mổ xẻ
48,chữ ký
49,máy quét
50,sự kéo dài
51,đề tài
52,cúc áo
53,các cửa sổ
54,cách điện
55,màu xanh da trời
56,đứng
57,màu lục lam
58,có
59,từ đồng âm
60,ký tự đại diện
61,dây cương
62,mười hai tháng
63,đỉnh núi
64,hàng tồn kho
65,dị tật
66,khẩu phần ăn
67,Cái xô
68,có lưỡi
69,cô độc
70,phấn khởi
71,Thấp
72,tòa nhà mới
73,thuốc ức chế miễn dịch
74,hóa ra
75,xâu chuỗi
76,người đầu cơ
77,bảng đỏ
78,Nước
79,ham hố
80,hoại thư
81,tấm đồng
82,nhân đạo nhất
83,nhà phát minh
84,đang đe dọa
85,bậc
86,viễn thông viên
87,quyết định cuối cùng
88,chất tăng cường
89,truyền cảm hứng
90,mật nghị
91,kềm cắt da
92,sự chia rẽ
93,những người cai quản
94,đỏ rực
95,dấu hiệu
96,redyes
97,từ tính
98,mộc lan
99,tẻ nhạt
100,cạn
101,sự thu thập
102,bẻ cong
103,điệp khúc
104,dền
105,vườn trẻ
106,đáng nhớ
107,số chín
108,giả dối
109,quyền bầu cử
110,nhà in thạch bản
111,Khúm núm
112,sự thụ động
113,rỗng
114,nhanh nhất
115,dấu tích
116,sân chơi
117,chia sẻ tư duy
118,chứng mê
119,định tâm
120,phiền phức
121,không hoàn lại
122,không đủ
123,đề nghị
124,danh mục phụ
125,họ hàng
126,tập trận
127,cô gái chơi
128,bị chém
129,xuất gia
130,không theo chu kỳ
131,hào quang
132,cuộc gặp gỡ
133,không nghi ngờ gì
134,trao
135,khoa học địa chất
136,phá sản
137,động mạch chủ
138,lớn nhất
139,vương cung thánh đường
140,sa lầy
141,những người bán chuyên nghiệp
142,dẫn điện
143,cãi nhau
144,cô gái bán báo
145,sự nghiêm nghị
146,Tặng kem
147,lập chỉ mục
148,tiền chất
149,bị ngất
150,sự tham gia
151,độ đục
152,không khuyến khích
153,đang nói
154,thực dân
155,vật liệu nano
156,sữa bột
157,kiếm được
158,bảng điểm
159,nhà thảo dược
160,món ngon
161,hứa hôn
162,sáp nhất
163,hành vi cư xử
164,đầu giường
165,ngọn lửa
166,về mặt vật chất
167,sự ủng hộ
168,người vô tổ chức
169,bỏ vũ khí
170,máy đo tele
171,tầng
172,đàn em
173,di truyền học
174,tiệc đứng
175,cho phép
176,làm cho đồng bộ
177,đọc
178,mở nút
179,thợ thuyền
180,làm phiền
181,nhấn
182,giản thể
183,tín hiệu
184,địa phương
185,chín quá
186,in quá nhiều
187,hình vuông
188,bushmaster
189,răng giả
190,đã giúp
191,cá ngựa
192,qua đường âm đạo
193,săn bắn
194,sô cô la
195,nhiệt nóng
196,không tưởng tượng
197,thực hiện lại
198,có hơi
199,tiêu chuẩn
200,sa khoáng
201,rách nát
202,thịt
203,co rúm lại
204,những người theo chủ nghĩa hiện đại
205,khả năng điều hướng
206,dâng hiến
207,tiền thuế
208,nhà thầu
209,nhóm thuần tập
210,chó săn
211,chấm công
212,chiếm đoạt
213,đá nguyên khối
214,nhà máy đóng hộp
215,xem xét lại
216,muỗi
217,thanh tải trọng
218,chơi
219,đống
220,tần số
221,nhu động ruột
222,thấm nước
223,rượu mạnh
224,có lòng tin
225,có thể chứa được
226,miếng ngậm
227,thâu tóm
228,người ăn cắp vặt
229,quá đáng
230,ra ngoài
231,dập
232,có chìa khóa
233,kiêu hãnh
234,chối bỏ
235,tiền kinh nguyệt
236,dậm chân
237,bao quát
238,ma túy đá
239,bồn chồn
240,hoa lan
241,kho ngữ liệu
242,xơ cứng
243,sự nhồi nhét
244,không được mã hóa
245,cảm giác no
246,không được công nhận
247,không có khả năng
248,đầu nồi
249,sơn dầu
250,phòng tiểu bang
251,cho ăn
252,sự lừng lẫy
253,ánh sáng trước
254,cạp quần
255,kẻ trộm
256,cho là
257,thăng hoa
258,tọc mạch
259,khử chương trình
260,hợp kim hóa
261,tự tử
262,ca ngợi
263,áo tuyết
264,hình lục giác
265,không nói dối
266,chứng khó tiêu
267,máy đếm nhịp
268,bóng râm
269,tương xứng
270,quyền tự trị
271,người bán rau
272,cuốn sách
273,thanh lọc
274,giải trình
275,được cấp phép
276,đánh sách
277,vỏ bọc
278,nhà cận tâm lý học
279,cái bảng
280,tăng giá
281,thủ phạm
282,nhăn nheo
283,luyện ngục
284,chất thấm
285,về phía đông
286,lập luận
287,ngoại phạm
288,bác học
289,khiêm nhường
290,ruột
291,"đường nứt, kẽ hở"
292,máy cày
293,Nhiều con hổ
294,từ vựng
295,bị kích thích
296,lợn cợn
297,ăn cho no
298,anh chị em ruột
299,gây chiến
300,an toàn
301,sự gan góc
302,quỳ gối
303,Có ý thức
304,chuyện cười
305,muỗng
306,đố kỵ
307,đóng cửa
308,lang thang
309,được bảo đảm
310,diễn đạt
311,trầm tích
312,những người theo chủ nghĩa cô lập
313,co rút
314,quần áo thông minh
315,nữ mỏ neo
316,chế độ ăn
317,xương cưa
318,ghi đè
319,chăn thả quá mức
320,vòng
321,liếm
322,Người lập kế hoạch
323,thường xuyên nhất
324,liên chính phủ
325,đèn
326,có thể đi biển
327,đào
328,thuyền đẩy
329,đồng rúp
330,giả tạo
331,sơ khai
332,ru ngủ
333,sự bóc mòn
334,sự loại bỏ
335,người tăng
336,cống
337,người mới nổi
338,cây cọ
339,có thể ủ được
340,người hư vô
341,khuôn đúc
342,sự cải thiện
343,quy định
344,thòng lọng
345,phác thảo
346,ngay thẳng
347,cái căng
348,sự truyền lại
349,kẻ khiêu khích
350,góc
351,điềm báo
352,không đủ năng lực
353,hàng quý
354,không có tín dụng
355,thủy triều
356,niềm nở
357,tam cá nguyệt
358,các cuộc hôn nhân
359,người khao khát
360,ưu đãi
361,ngạc nhiên
362,đám rối
363,Hiếm
364,dung sai
365,ấm đun nước trà
366,khuyến khích
367,bánh hạt dẻ
368,bobolinks
369,quần ôm sát chân
370,khoảng không
371,phòng khiêu vũ
372,dây đeo đồng hồ
373,cánh tay
374,những người theo chủ nghĩa chính thống
375,khó tính hơn
376,bóng bẩy nhất
377,mũi màu xanh
378,bảo vệ
379,khác
380,gói tin
381,cảnh quan đường phố
382,ghettos
383,thất vọng
384,ô chữ
385,nhà máy nghiền
386,về mặt nhận thức
387,nghệ sĩ đàn harpsichordists
388,topnotch
389,thợ mộc
390,có thể hoạt động
391,tiền mặt
392,những người cánh tả
393,dụng cụ nấu ăn
394,đồ gốm
395,sự đa dạng
396,xúc giác
397,whirlybird
398,đười ươi
399,phụng vụ
400,biện pháp bảo vệ
401,thận trọng
402,nẹp
403,không có nhãn hiệu
404,mối tương quan
405,tẩm
406,khúc xạ nhãn khoa
407,crass
408,thủy phân
409,vỗ
410,rút ruột
411,bá chủ
412,cho không
413,phòng tối
414,nổi loạn
415,không chuyên môn hóa
416,cầu thang bộ
417,công việc nhà
418,cacbon hóa
419,chủ nhà trọ
420,nhà ngoài
421,kết thúc
422,ngôn ngữ
423,Chữ ký ảnh
424,không công bằng
425,hậu vệ
426,thiết lập
427,buồn tẻ
428,goober
429,chiều dài
430,bộ tăng áp phụ
431,điểm tương đồng
432,sự nặng nề
433,người liều lĩnh
434,cái xiên
435,sự cắt tỉa
436,than đá
437,không thương
438,vải không sơn
439,xì dách
440,áo cao cổ
441,được lợi
442,tịch thu tài sản
443,giới tính học
444,ngụy tạo
445,không mong muốn
446,tô màu
447,sự láu cá
448,sự thôn tính
449,không tương đương
450,chiếc cúp
451,những người phục tùng
452,người đánh đèn
453,lời mời mọc
454,gắn chặt
455,môi trường
456,cuộc sống về đêm
457,vitamin tổng hợp
458,không có tài chính
459,hồi ký
460,kẻ bạo dâm
461,đo lường sai
462,sự áp bức
463,máy đo phóng xạ
464,ngoại tình
465,xấu đi
466,tháp canh
467,người trồng nho
468,toát ra
469,khóa chốt
470,nghề may mặc
471,glasnosts
472,nghiên cứu
473,quay cuồng
474,bồi thẩm đoàn
475,hoạt tính sinh học
476,người theo chủ nghĩa hội đoàn
477,khóa lưới
478,quở trách
479,atropine
480,có thể chiến thắng
481,người khác
482,lúng túng
483,những kẻ phạm thượng
484,người theo chủ nghĩa dân túy
485,đa luồng
486,vô luân
487,tích tắc
488,rửa được
489,thắt
490,tài trợ vi mô
491,xảo quyệt
492,lòng
493,barque
494,vũng nước
495,nặng ký
496,chống co thắt
497,cần điều khiển
498,người bên sườn
499,quái quỷ
500,lược chải đầu
501,Cùi đề xe đạp
502,đường tròn
503,người tinh ranh
504,lấy mẫu
505,vô địch
506,sự học việc
507,nhộn nhạo
508,người được giao
509,phần giữa
510,người nhận quyền
511,Sơn dầu
512,uống được
513,đầu cánh
514,kết cấu
515,Từng bước
516,mất trí nhớ
517,công trường
518,kẻ rình mò
519,không có ủng
520,trái luật
521,tái báo cáo
522,song công
523,điện thoại
524,không độc quyền
525,bắp tay
526,pháo hoa
527,gôm
528,những người sống sót
529,khen thưởng
530,đã có
531,chùa
532,con cái
533,một tẹo
534,tàn dư
535,đổi thương hiệu
536,tính ôn hòa
537,sự hiển nhiên
538,đo khí hậu
539,có mùi thơm
540,uống
541,sự mạnh mẽ
542,thổi bùng
543,người lính
544,các pharaoh
545,băng giá
546,chốt bảng
547,kiểu cách
548,đoàn lữ hành
549,thuê tàu
550,bị ô nhiễm
551,bữa tối
552,không có lợi nhuận
553,Nhà xây dựng
554,sự quy kết
555,không được chứng nhận
556,dễ thương
557,người bắt chước
558,nhà sản xuất
559,định cư
560,nhà ga
561,Nội trú
562,sự giải bày
563,cắt xén
564,xẻ thịt
565,khuôn mẫu
566,giám thị
567,ly rượu
568,tuyến dưới
569,thợ rèn
570,người trồng cây
571,theo dấu
572,những người vi phạm pháp luật
573,sách hướng dẫn
574,sợ sệt
575,lâm nghiệp
576,giày dép
577,Thiết kế riêng
578,đau lòng
579,cỏ dại
580,làm đông
581,phiếu giảm giá
582,về mặt từ nguyên
583,lốp xe
584,bội số
585,vọng lâu
586,phản ứng
587,faultinesses
588,môi giới
589,người sửa sai
590,tambourines
591,không có máu
592,đồ ngọt
593,thắng
594,trẻ hơn
595,carafe
596,tiền dư
597,mê đắm
598,nén chặt
599,người kiêng cữ
600,Đang chuyển hàng
601,hippies
602,đã kết hôn
603,sự biểu lộ
604,tiền đạo
605,khử nhân tính
606,bực bội
607,sự thù hận
608,kiên trì
609,chị kế
610,chuyên gia phân tích
611,vật lý sinh học
612,đóng thế
613,dell
614,kiểm tra sức khỏe
615,sự nhí nhảnh
616,bỏ vào thùng rác
617,hi vọng
618,chỗ đứng
619,lồng vào nhau
620,khả ố
621,đánh thức
622,phloxes
623,người sai lầm
624,raunchier
625,thẻ bài
626,sự hấp phụ
627,siêu cạnh tranh
628,bánh răng cưa
629,kiểm chứng
630,sáu tuổi
631,nhuyễn thể
632,có thể hỗ trợ
633,danh dự
634,trộm cướp
635,đính đá
636,cây xuân đào
637,sương giá
638,sự dè dặt
639,loại bánh mì ngắn
640,bề ngoài
641,sự trung thành
642,chướng ngại
643,kỳ tích
644,nội thất
645,xác chết
646,rock nhất
647,làm sống lại
648,mìn
649,chúa tể
650,chênh lệch
651,đẩy lên
652,vỗ về
653,tai quái
654,chiếu xạ
655,người thuyết trình
656,bánh nướng xốp
657,xu hướng tăng
658,quả me
659,hải âu
660,xoắn ốc
661,người vận động hành lang
662,bùn đất
663,bơ thực vật
664,biết
665,phần đường
666,lập chiến lược
667,vật trao đổi
668,dưa cải bắp
669,đi lại
670,liên ngân hàng
671,hú lên
672,giác ngộ
673,phân tích
674,người lúp xúp
675,xoi mói
676,tố cáo
677,con rối
678,nhỏ giọt
679,không tập trung
680,kẻ xúc phạm
681,tấm điện
682,vào trong
683,cư trú
684,nhà nghèo
685,sự đủ
686,nondental
687,người yêu
688,không có tội
689,người mất trí
690,không hợp lý
691,nữ bộ lạc
692,người ăn bám
693,có thể viết hoa
694,nonwage
695,đi đi
696,mớ hỗn độn
697,Chướng khí
698,không thể trả lại
699,thổi còi
700,học sinh bỏ học
701,kẻ giết người
702,thuyết âm tiết
703,trả thù
704,tính hiếu nghĩa
705,an táng
706,tay cầm của chảo
707,mảnh vụn
708,yummier
709,thợ cấy
710,hoa vân anh
711,Chúa Trời
712,thuyết minh
713,tiếng chuông
714,sự không hợp lý
715,không thể thi hành
716,đáng kinh ngạc
717,nhà tự nhiên học
718,sự phục hồi
719,tiệm bán xe
720,cơ vòng
721,đất rừng
722,diều
723,trộn lẫn
724,người giả vờ
725,vô kỷ luật
726,dangs
727,bờm
728,thở
729,cấy
730,chuyến bay
731,hô hấp
732,móc sắt
733,nhẹ nhất
734,bờ vực
735,vô tư
736,phát phần thưởng
737,khả năng tẩy rửa
738,cảm nhận được
739,dâu
740,điểm số
741,kẻ hút máu
742,không bắt buộc
743,liệu pháp thôi miên
744,chia phần
745,máy làm lạnh
746,thạch như
747,món tráng miệng
748,không hoạt động
749,thiếu xót
750,điều động
751,phá bỏ
752,tòa án
753,đuôi tàu
754,cây đậu xanh
755,sự luyện hóa
756,khi nào
757,oan gia
758,đồ sứ
759,các đối tượng
760,tạm dừng lại
761,chậm
762,chưa may
763,kẻ gian lận
764,sự hách dịch
765,nước dãi
766,vi sinh
767,mỏng nhất
768,đổi chỗ
769,nghịch cảnh
770,bí ẩn
771,manilas
772,T là
773,bệnh lùn
774,đồng tâm
775,có lòng tốt
776,cao hơn
777,cóc
778,máy thở
779,khí quản
780,bánh tartans
781,thao túng
782,nhau thai
783,nội tại
784,sự vui vẻ
785,người truyền cảm hứng
786,bao bì
787,kẻ kém cỏi
788,hải sản
789,bóng bay
790,trẻ lại
791,ngạo mạn
792,người giỏi hơn
793,độ dẫn nhiệt
794,nhà thám hiểm
795,điềm gở
796,sự tạo mầm
797,gọt giũa
798,người thổi phồng
799,cho vay vi mô
800,nhuộm lại
801,giun móc
802,cải thiện
803,địa tĩnh
804,dự phần
805,lau khô
806,đột ngột
807,người kiểm duyệt
808,chất làm khô
809,tái sản xuất
810,sự sai trái
811,người viết biếm họa
812,chủ nghĩa tự động
813,bệnh đậu bò
814,cẩu thả
815,giày cao gót đế bằng
816,điện cực
817,lớp con
818,lễ kỷ niệm
819,bệnh nhân ngoại trú
820,nấc cụt
821,tiếng rít
822,hợp hiến
823,những người theo thuyết tiến hóa
824,phong chức
825,ý kiến
826,người đăng ký trước
827,schlepps
828,tỉnh lẻ
829,lãnh sự
830,ảo hóa
831,không màu
832,người trả tiền
833,lăn tăn
834,đặt
835,hướng tây nam
836,hành tinh
837,tích hợp
838,đồ thờ
839,không đồ đạc
840,tế bào học
841,giá thầu
842,đồng rupiah
843,rò rỉ
844,người nhìn chằm chằm
845,người theo chủ nghĩa gợi cảm
846,sự thanh lọc
847,cởi cúc áo
848,đã nói trước
849,kho bạc
850,tessellated
851,cây thường xuân
852,chiến mã
853,sự khiêu khích
854,lẻn
855,truyền lại
856,sạch sẽ hơn
857,tập sự
858,nhà sinh thái học
859,đáng khinh
860,bài thuyết trình
861,cây thuốc phiện
862,nhà hàng
863,nonstarter
864,khử muối
865,bày tỏ
866,sự yếu đuối
867,hung bạo
868,ham muốn
869,atavists
870,thú tội
871,tuần hành
872,thành nội
873,rạng đông
874,sự ăn thịt
875,mongooses
876,kính ngắm
877,mỏm băng
878,liên nhóm
879,khó nhọc
880,rút tiền
881,tranh chấp
882,tư nhân
883,clorua
884,người lật đổ
885,độc lực
886,khán phòng
887,triển lãm thương mại
888,gừ
889,con mọt
890,nhân sâm
891,bếp nhỏ
892,cây trồng
893,đen hơn
894,thương binh
895,sống nội tâm
896,dăm bào
897,khảo sát lại
898,những người góa bụa
899,nhìn xa trông rộng
900,sàn diễn
901,etylic
902,Vôn
903,đặt xuống
904,những ngụm
905,ăn chơi
906,riposts
907,có thể lập trình lại
908,nhô ra
909,không di cư
910,thượng nghị sĩ
911,ngả nghiêng
912,ngâm trong
913,gây cháy
914,khuôn mặt
915,đập tràn
916,ngoại cảm
917,kiên quyết
918,lên kế hoạch
919,cạnh nhau
920,may đo
921,fogginesses
922,ngay đơ
923,thợ đẽo gọt
924,mỉa mai
925,quyền phát minh
926,thắng lợi
927,người kiêng cử
928,gai góc nhất
929,làm việc với nhau
930,điềm báo trước
931,sang phải
932,chia buồn
933,hullos
934,thí điểm
935,nói dối
936,người thông báo
937,songfest
938,buột miệng
939,người theo chủ nghĩa hiện sinh
940,không có kết quả
941,vi tảo
942,hữu nghị
943,người đưa tin
944,đường dọc
945,đắt tiền
946,không phân biệt
947,bầu
948,mỏm đá
949,dapperest
950,xanh da trời
951,mạch đập
952,quần yếm
953,bụi hồng
954,ghi lại
955,chastens
956,bú sữa
957,đa văn hóa
958,cây bồ công anh
959,flashcubes
960,sức chịu đựng
961,đốt ngón tay
962,toàn trí
963,các ngài
964,chói tai nhất
965,hướng ra biển
966,hải ngoại
967,xương sườn
968,người chuyển hướng
969,cái lọ
970,người đi thuyền buồm
971,bộ chỉnh lưu
972,thôi miên
973,thuộc về mẹ
974,giấy lộn
975,diệt trừ
976,cây lâu năm
977,tinh vi hơn
978,phòng họp
979,phốt pho
980,tuyển dụng lại
981,người quay phim
982,giống như
983,thủy văn
984,xung động
985,phòng tắm bùn
986,nhà phụng vụ
987,đàng hoàng
988,ông chủ
989,cánh
990,nhóm
991,không loạn nhịp
992,bị vỡ
993,đeo kính
994,mui cứng
995,nhà thờ Hồi giáo
996,kiện tụng
997,ngây ngô
998,đồ đá cũ
999,miếng dán
1000,định danh
1001,whatchamacallits
1002,hoãn lại
1003,miêu tả
1004,sự thận trọng
1005,niềm hạnh phúc
1006,cách chức
1007,đánh dấu vết
1008,rộng mênh mông
1009,thúc đẩy
1010,khóc
1011,cặp sách
1012,bộ đồ lặn
1013,readmits
1014,các đơn vị
1015,sự cân nhắc
1016,nutpick
1017,nấu chín
1018,chiến lược
1019,người đi trên không
1020,có thể cảm nhận được
1021,không theo yêu cầu
1022,rực rỡ
1023,trường giáo dưỡng
1024,cây tú cầu
1025,ánh sáng
1026,đỏ mặt
1027,những người ngụy biện
1028,xông lên
1029,người kỳ lạ
1030,theo nghĩa bóng
1031,khả năng tham khảo
1032,không có tiếng
1033,chất phóng xạ
1034,độc hại
1035,không được chứng minh
1036,nuông chiều
1037,giải thoát
1038,không có giấy chứng nhận
1039,thợ điện
1040,phủ quyết
1041,quá mức cần thiết
1042,súng cao su
1043,thùng xe
1044,tổ
1045,cầy mangut
1046,các cuộc nổi dậy
1047,người mòn mỏi
1048,nuôi
1049,máy hát tự động
1050,người xoa bóp
1051,người nạp
1052,chim ưng biển
1053,quốc tế
1054,bệnh ghẻ
1055,ván sợi
1056,cảm giác mạnh
1057,quán tính
1058,gây nguy hiểm
1059,siêu anh hùng
1060,bằng đường bộ
1061,Đông lại
1062,mùi
1063,cuộn lại
1064,sự an ủi
1065,diminuendos
1066,chèo thuyền
1067,đường kính
1068,bán rong
1069,bắn súng
1070,đau
1071,người giữ cửa
1072,cây trâm
1073,chim sơn ca
1074,phong tước
1075,âm trầm
1076,lơ đãng
1077,manikin
1078,huyết thanh học
1079,người chuyển nhượng
1080,người viết lời
1081,dobbins
1082,người theo chủ nghĩa truyền thống
1083,mùi thơm
1084,phòng ngủ
1085,nhảy qua
1086,lứa đẻ
1087,không ký tên
1088,da hoẵng
1089,numskull
1090,ôm sát
1091,lồng ghép
1092,sự xấu hổ
1093,chuyển đổi giới tính
1094,người ngắm cảnh
1095,fide
1096,vịt con
1097,thép cây
1098,bò sát
1099,shlepps
1100,cắt ngang
1101,bác sĩ chăm sóc chân
1102,máy tiện
1103,không giàu có
1104,có cúc áo
1105,tiền bảo hiểm
1106,kính quang phổ
1107,làm trái
1108,gọi lại
